TRIALNO,COST_WEIGHT,RISK_WEIGHT,DISTANCE_WEIGHT,SPEED_WEIGHT,POP_WEIGHT,HEU_WEIGHT,TOTAL_POP,ROAD_DEATH_PROB,
2,0.00,0.10,0.10,0.10,2.00,0.000000052,1000,0.00,
1,0.00,0.10,0.10,0.10,2.00,0.000000052,1000,0.00,
11,0.10,0.10,0.10,0.10,2.00,0.000000052,1000,0.00,
22,0.20,0.10,0.10,0.10,2.00,0.000000052,1000,0.00,
32,0.30,0.10,0.10,0.10,2.00,0.000000052,1000,0.00,
31,0.30,0.10,0.10,0.10,2.00,0.000000052,1000,0.00,
52,0.50,0.10,0.10,0.10,2.00,0.000000052,1000,0.00,
51,0.50,0.10,0.10,0.10,2.00,0.000000052,1000,0.00,
12,0.10,0.10,0.10,0.10,2.00,0.000000052,1000,0.00,
21,0.20,0.10,0.10,0.10,2.00,0.000000052,1000,0.00,
72,0.70,0.10,0.10,0.10,2.00,0.000000052,1000,0.00,
41,0.40,0.10,0.10,0.10,2.00,0.000000052,1000,0.00,
61,0.60,0.10,0.10,0.10,2.00,0.000000052,1000,0.00,
71,0.70,0.10,0.10,0.10,2.00,0.000000052,1000,0.00,
42,0.40,0.10,0.10,0.10,2.00,0.000000052,1000,0.00,
81,0.80,0.10,0.10,0.10,2.00,0.000000052,1000,0.00,
82,0.80,0.10,0.10,0.10,2.00,0.000000052,1000,0.00,
62,0.60,0.10,0.10,0.10,2.00,0.000000052,1000,0.00,
112,1.10,0.10,0.10,0.10,2.00,0.000000052,1000,0.00,
91,0.90,0.10,0.10,0.10,2.00,0.000000052,1000,0.00,
141,1.40,0.10,0.10,0.10,2.00,0.000000052,1000,0.00,
111,1.10,0.10,0.10,0.10,2.00,0.000000052,1000,0.00,
101,1.00,0.10,0.10,0.10,2.00,0.000000052,1000,0.00,
172,1.70,0.10,0.10,0.10,2.00,0.000000052,1000,0.00,
161,1.60,0.10,0.10,0.10,2.00,0.000000052,1000,0.00,
122,1.20,0.10,0.10,0.10,2.00,0.000000052,1000,0.00,
